sample_no,depth
1,138.02
5,138.82
9,139.62
13,140.42
17,141.22
21,142.02
25,142.82
29,143.62
33,144.42
37,145.22
41,146.02
45,146.82
49,147.62
53,148.42
57,149.22
61,150.02
65,150.82
69,151.62
73,152.42
77,153.22
81,154.02
85,154.82
89,155.62
93,156.42
97,157.22
101,158.02
105,158.82
109,159.62
113,160.42
117,161.22
120,161.82
125,162.82
129,163.62
133,164.42
137,165.22
141,166.02
145,166.82
149,167.62
153,168.42
157,169.22
161,170.02
165,170.82
169,171.62
173,172.42
177,173.22
181,174.02
185,174.82
189,175.62
193,176.42
197,177.22
201,178.02
205,178.82
209,179.62
213,180.42
217,181.22
221,182.02
225,182.82
229,183.62
233,184.42
237,185.22
241,186.02
245,186.82
249,187.62
253,188.42
257,189.22
261,190.02
265,190.82
269,191.62
273,192.42
277,193.22
281,194.02
285,194.82
289,195.62
293,196.42
297,197.22
301,198.02
305,198.82
309,199.62
313,200.42
317,201.22
321,202.02
325,202.82
329,203.62
333,204.42
337,205.22
341,206.02
345,206.82
349,207.62
353,208.42
357,209.22
361,210.02
365,210.82
369,211.62
373,212.42
377,213.22
381,214.02
385,214.82
389,215.62
393,216.42
397,217.22
401,218.02
405,218.82
409,219.62
413,220.42
417,221.22
421,222.02
425,222.82
429,223.62
433,224.42
437,225.22
441,226.02
445,226.82
449,227.62
453,228.42
457,229.22
461,230.02
465,230.82
469,231.62
473,232.42
477,233.22
481,234.02
485,234.82
489,235.62
493,236.42
497,237.22
501,238.02
505,238.82
509,239.62
513,240.42
517,241.22
521,242.02
525,242.82
529,243.62
533,244.42
537,245.22
541,246.02
545,246.82
549,247.62
553,248.42
557,249.22
561,250.02
565,250.82
569,251.62
573,252.42
577,253.22
581,254.02
585,254.82
589,255.62
593,256.42
597,257.22
601,258.02
605,258.82
609,259.62
613,260.42
617,261.22
621,262.02
625,262.82
629,263.62
633,264.42
635,264.82
641,266.02
649,267.62
657,269.22
665,270.82
666,271.02
669,271.62
673,272.42
677,273.22
681,274.02
685,274.82
689,275.62
693,276.42
697,277.22
701,278.02
705,278.82
709,279.62
713,280.42
717,281.22
721,282.02
725,282.82
