sample_no,count,life_mode,pc_ab
1,300,p,39.33333333333333
1,300,fp,46.666666666666664
1,300,b,14.000000000000002
1,400,p,43.922984356197354
1,400,fp,41.395908543922985
1,400,b,14.681107099879661
1,500,p,43.33643988816402
1,500,fp,41.93849021435228
1,500,b,14.725069897483692
65,300,p,51.15511551155115
65,300,fp,31.353135313531354
65,300,b,17.491749174917494
65,400,p,50.11990407673861
65,400,fp,32.37410071942446
65,400,b,17.505995203836928
65,500,p,48.33948339483395
65,500,fp,33.76383763837638
65,500,b,17.89667896678967
97,300,p,80.4054054054054
97,300,fp,16.216216216216218
97,300,b,3.3783783783783785
97,400,p,78.51851851851852
97,400,fp,17.037037037037038
97,400,b,4.444444444444445
97,500,p,80.18348623853211
97,500,fp,15.59633027522936
97,500,b,4.220183486238533
145,300,p,87.64880952380952
145,300,fp,5.059523809523809
145,300,b,7.291666666666667
145,400,p,87.34643734643734
145,400,fp,4.668304668304668
145,400,b,7.985257985257984
145,500,p,86.58892128279884
145,500,fp,3.8872691933916426
145,500,b,9.523809523809524
225,300,p,87
225,300,fp,4.333333333333334
225,300,b,8.666666666666668
225,400,p,84.73091364205257
225,400,fp,6.758448060075094
225,400,b,8.51063829787234
225,500,p,83.87413962635202
225,500,fp,6.489675516224189
225,500,b,9.636184857423794
233,300,p,82.95819935691318
233,300,fp,5.466237942122187
233,300,b,11.57556270096463
233,400,p,80.94059405940595
233,400,fp,5.9405940594059405
233,400,b,13.118811881188119
233,500,p,78.85375494071147
233,500,fp,7.312252964426877
233,500,b,13.83399209486166
241,300,p,90.70422535211267
241,300,fp,4.788732394366197
241,300,b,4.507042253521127
241,400,p,90.65628476084538
241,400,fp,4.894327030033371
241,400,b,4.4493882091212456
241,500,p,91.46825396825396
241,500,fp,4.365079365079365
241,500,b,4.166666666666666
249,300,p,48.68421052631579
249,300,fp,47.03947368421053
249,300,b,4.276315789473684
249,400,p,49.48979591836735
249,400,fp,44.642857142857146
249,400,b,5.86734693877551
249,500,p,49.483568075117375
249,500,fp,44.50704225352113
249,500,b,6.009389671361502
257,300,p,49.668874172185426
257,300,fp,38.079470198675494
257,300,b,12.251655629139073
257,400,p,47.21549636803874
257,400,fp,38.49878934624697
257,400,b,14.285714285714285
257,500,p,46.40776699029126
257,500,fp,39.80582524271845
257,500,b,13.78640776699029
259,300,p,33.86581469648562
259,300,fp,52.07667731629393
259,300,b,14.057507987220447
259,400,p,31.026252983293556
259,400,fp,56.56324582338902
259,400,b,12.410501193317423
259,500,p,32.669322709163346
259,500,fp,54.980079681274894
259,500,b,12.350597609561753
385,300,p,78.99543378995433
385,300,fp,12.480974124809741
385,300,b,8.52359208523592
385,400,p,76.80798004987531
385,400,fp,14.962593516209477
385,400,b,8.229426433915211
385,500,p,77.19806763285024
385,500,fp,14.299516908212562
385,500,b,8.502415458937199
449,300,p,70.62314540059347
449,300,fp,2.967359050445104
449,300,b,26.409495548961427
449,400,p,68.75
449,400,fp,5.75
449,400,b,25.5
449,500,p,70.40441176470588
449,500,fp,5.330882352941177
449,500,b,24.264705882352942
577,300,p,77
577,300,fp,5
577,300,b,18
577,400,p,76.7156862745098
577,400,fp,4.411764705882353
577,400,b,18.872549019607842
577,500,p,76.83397683397683
577,500,fp,4.633204633204633
577,500,b,18.53281853281853
609,300,p,66.11295681063123
609,300,fp,19.269102990033225
609,300,b,14.61794019933555
609,400,p,69.07730673316709
609,400,fp,18.952618453865338
609,400,b,11.970074812967582
609,500,p,67.58349705304518
609,500,fp,20.825147347740668
609,500,b,11.591355599214145
705,300,p,45.936981757877284
705,300,fp,25.538971807628524
705,300,b,28.524046434494192
705,400,p,49.14004914004914
705,400,fp,23.095823095823096
705,400,b,27.764127764127768
705,500,p,46.588693957115005
705,500,fp,22.612085769980506
705,500,b,30.79922027290448
