depth,ap,ap-pj
137.8,0.8043478260869565,0.19254658385093168
138.4,0.8258706467661692,0.6766169154228856
139.2,0.6856287425149701,0.5748502994011976
140,0.48441926345609065,0.24362606232294617
140.8,0.5786163522012578,0.37735849056603776
141.6,0.5972222222222222,0.43333333333333335
142.4,0.5887096774193549,0.45161290322580644
143.2,0.582089552238806,0.43582089552238806
144,0.8211143695014663,0.6803519061583577
144.8,0.8297213622291022,0.7863777089783281
145.6,0.8183856502242153,0.7869955156950673
146.4,0.844559585492228,0.805699481865285
147.2,0.7455197132616488,0.6738351254480287
148,0.7794759825327511,0.7248908296943232
148.8,0.8501529051987767,0.7828746177370031
149.6,0.8351351351351352,0.7486486486486487
150,0.8560606060606061,0.7727272727272727
150.8,0.9245283018867925,0.7789757412398922
151.6,0.8640483383685801,0.743202416918429
152.4,0.8966565349544073,0.7689969604863222
153.2,0.9529411764705882,0.8470588235294118
154,0.9653333333333334,0.7786666666666666
155.6,0.9144542772861357,0.7669616519174042
156,0.959349593495935,0.8428184281842819
156.4,0.9494047619047619,0.7291666666666666
156.8,0.8882978723404256,0.7287234042553191
157.2,0.8953846153846153,0.7630769230769231
157.8,0.8375,0.628125
158,0.907035175879397,0.7236180904522613
158.4,0.7408759124087592,0.36496350364963503
159,0.7875816993464052,0.5032679738562091
159.6,0.7862068965517242,0.6137931034482759
160,0.740983606557377,0.4819672131147541
160.4,0.7755102040816326,0.4489795918367347
161,0.535483870967742,0.1935483870967742
161.6,0.5096952908587258,0.16897506925207756
162,0.5032258064516129,0.1967741935483871
162.8,0.3695652173913043,0.2732919254658385
163.6,0.4115942028985507,0.28405797101449276
164.4,0.4664310954063604,0.26148409893992935
165.2,0.37341772151898733,0.25949367088607594
166,0.37770897832817335,0.28173374613003094
166.8,0.36908517350157727,0.2807570977917981
167.6,0.41233766233766234,0.2987012987012987
169.2,0.40599455040871935,0.2997275204359673
169.7,0.42028985507246375,0.3115942028985507
170.8,0.2874617737003058,0.22629969418960244
172.4,0.3710144927536232,0.263768115942029
173.2,0.20689655172413793,0.1810344827586207
174.8,0.32087227414330216,0.2087227414330218
176.4,0.40588235294117647,0.24705882352941178
178,0.35161290322580646,0.27741935483870966
178.8,0.15151515151515152,0.09090909090909091
180.4,0.3474320241691843,0.18126888217522658
182,0.4483695652173913,0.2608695652173913
182.8,0.4051724137931034,0.23563218390804597
183.6,0.4319526627218935,0.23076923076923078
184.4,0.4972677595628415,0.34972677595628415
184.8,0.44025157232704404,0.2610062893081761
185,0.4328767123287671,0.2219178082191781
185.2,0.5245901639344263,0.19398907103825136
185.6,0.5659340659340659,0.25274725274725274
186,0.6190476190476191,0.375
186.4,0.5177514792899408,0.3224852071005917
186.8,0.8832807570977917,0.6435331230283912
187.2,0.8959537572254336,0.7225433526011561
187.6,0.8823529411764706,0.7647058823529411
188,0.9064935064935065,0.7272727272727273
188.4,0.896551724137931,0.7241379310344828
188.8,0.925,0.7416666666666667
189.2,0.9117647058823529,0.7147058823529412
189.6,0.9355828220858896,0.7944785276073619
189.7,0.8881118881118881,0.7237762237762237
190.4,0.9127906976744186,0.7936046511627907
190.8,0.8564814814814815,0.7685185185185185
191.2,0.9140127388535032,0.8184713375796179
192,0.867231638418079,0.7655367231638418
192.4,0.7793103448275862,0.6689655172413793
193.6,0.6610576923076923,0.20432692307692307
194,0.620253164556962,0.17721518987341772
194.4,0.6319018404907976,0.22085889570552147
194.8,0.6163141993957704,0.1933534743202417
195.2,0.5251572327044025,0.37735849056603776
196.4,0.5514285714285714,0.22285714285714286
198,0.5950920245398773,0.34355828220858897
201.2,0.44025157232704404,0.22327044025157233
222.8,0.6533333333333333,0.4533333333333333
