depth,sample_no
138.02,1
138.82,5
139.62,9
140.42,13
141.22,17
142.02,21
142.82,25
143.62,29
144.42,33
145.22,37
146.02,41
146.82,45
147.62,49
148.42,53
149.22,57
150.02,61
150.82,65
151.62,69
152.42,73
153.22,77
154.02,81
154.82,85
155.62,89
156.42,93
157.22,97
158.02,101
158.82,105
159.62,109
160.42,113
161.22,117
161.82,120
162.82,125
163.62,129
164.42,133
165.22,137
166.02,141
166.82,145
167.62,149
168.42,153
169.22,157
170.02,161
170.82,165
171.62,169
172.42,173
173.22,177
174.02,181
174.82,185
175.62,189
176.42,193
177.22,197
178.02,201
178.82,205
179.62,209
180.42,213
181.22,217
182.02,221
182.82,225
183.62,229
184.42,233
185.22,237
186.02,241
186.82,245
187.62,249
188.42,253
189.22,257
190.02,261
190.82,265
191.62,269
192.42,273
193.22,277
194.02,281
194.82,285
195.62,289
196.42,293
197.22,297
198.02,301
198.82,305
199.62,309
200.42,313
201.22,317
202.02,321
202.82,325
203.62,329
204.42,333
205.22,337
206.02,341
206.82,345
207.62,349
208.42,353
209.22,357
210.02,361
210.82,365
211.62,369
212.42,373
213.22,377
214.02,381
214.82,385
215.62,389
216.42,393
217.22,397
218.02,401
218.82,405
219.62,409
220.42,413
221.22,417
222.02,421
222.82,425
223.62,429
224.42,433
225.22,437
226.02,441
226.82,445
227.62,449
228.42,453
229.22,457
230.02,461
230.82,465
231.62,469
232.42,473
233.22,477
234.02,481
234.82,485
235.62,489
236.42,493
237.22,497
238.02,501
238.82,505
239.62,509
240.42,513
241.22,517
242.02,521
242.82,525
243.62,529
244.42,533
245.22,537
246.02,541
246.82,545
247.62,549
248.42,553
249.22,557
250.02,561
250.82,565
251.62,569
252.42,573
253.22,577
254.02,581
254.82,585
255.62,589
256.42,593
257.22,597
258.02,601
258.82,605
259.62,609
260.42,613
261.22,617
262.02,621
262.82,625
263.62,629
264.42,633
264.82,635
266.02,641
267.62,649
269.22,657
270.82,665
271.02,666
271.62,669
272.42,673
273.22,677
274.02,681
274.82,685
275.62,689
276.42,693
277.22,697
278.02,701
278.82,705
279.62,709
280.42,713
281.22,717
282.02,721
282.82,725
