sample_no,micros
1,242
5,92
9,110
13,262
17,388
21,365
25,167
29,115
33,154
37,75
41,85
45,58
49,107
53,120
57,60
61,116
65,137
69,147
73,215
77,220
81,268
85,263
89,286
93,286
97,88
101,94
105,102
109,138
113,143
117,320
120,1861
125,358
129,2253
133,1242
137,904
141,628
145,650
149,616
153,317
157,1446
161,718
165,845
169,302
173,337
177,305
181,1324
185,540
189,621
193,309
197,308
201,309
205,300
209,265
213,118
217,178
221,261
225,210
229,198
233,213
237,280
241,216
245,62
249,48
253,92
257,78
261,65
265,47
269,60
273,62
277,509
281,483
285,571
289,800
293,309
297,230
301,362
305,550
309,518
313,729
317,556
321,480
325,502
329,158
333,181
337,535
341,302
345,304
349,569
353,176
357,221
361,240
365,143
369,146
373,81
377,86
381,125
385,140
389,305
393,204
397,280
401,204
405,173
409,96
413,109
417,79
421,164
425,92
429,96
433,200
437,885
441,106
445,228
449,284
453,215
457,217
461,396
465,177
469,279
473,349
477,372
481,290
485,483
489,341
493,442
497,294
501,204
505,232
509,509
513,1191
517,1180
521,518
525,1020
529,875
533,941
537,954
541,669
545,1392
549,434
553,296
557,532
561,362
565,1011
569,614
573,402
577,449
581,348
585,572
589,465
593,394
597,153
601,381
605,514
609,300
613,106
617,156
621,62
625,120
629,252
633,496
635,277
641,NA
649,NA
657,NA
665,NA
666,537
669,298
673,1086
677,1044
681,746
685,414
689,1235
693,660
697,619
701,669
705,714
709,132
713,93
717,63
721,235
725,654
